Name,Category,Timing,Starting,Growing,Harvest
Viola,Flower,"Start indoors 10-12 weeks before planting out. For spring planting after last frost, that means up to 3 months growing time indoors. Otherwise, sow direct outdoors in summer to early autumn. For winter-flowering pansies in Zones 7-9, start seeds in mid to late June. For Direct sow in autumn or early spring. This variety benefits from a long exposure to cool soil.","Even though the seeds are tiny, they need to be sown 5mm (¼”) deep. Keep the soil at 18-25°C (65-75°F), in complete darkness until they germinate in around 14 days. Then provide bright light to keep plants compact. Space at 15-23cm (6-9″) in the garden.  Barely cover the tiny seeds. Sow in flats sunk into the ground against a north-facing wall, and cover with glass or plastic. Remove cover when seedlings emerge. Germination can take up to 50 days, so be patient.","After germination, pansies and violas are easy. Fertilize once or twice in early growth and provide a mulch around plants to keep roots cool as weather warms. Deadhead to prevent self-sowing, particularly with Johnny-Jump-Ups. Transplant after last frost or in the autumn where winters are mild, spacing at 15-30cm (6-12”) apart. Grow in partial shade, or in full sun where summers are cool. This variety prefers rich, moist, well-drained soil with a pH of 5.5-7.0. Add well-rotted manure at transplant time.",
Wildflower,Flower,"Try to direct sow wildflower seeds during the period two weeks before, and eight weeks after, your last average frost date. Sowing when there is some risk of minor frost may improve germination. Wildflower seeds can also be sown in the autumn, but a certain percentage of seeds to may be lost to water, birds, and animals. To make the most of the annual species, direct sow in early spring."," If there are already no plants (including weeds) growing in the planting site, there may be a problem with the soil. Possible issues may be soil fertility, lack of drainage, or the need for soil amendments to improve texture. In such spots (eg, beneath a cedar tree), few plants will thrive, including wildflowers. Remove as much existing vegetation as possible through pulling or tilling under in order to minimize competition. Loosen the soil by scraping, raking, or tilling. Wildflower blends will not usually take if planted into existing lawn because the thatch prevents their contact with soil. In small areas, seeds can be scattered by hand. In larger areas, you may want to employ a lawn spreader or some other mechanical means. We recommend adding 1-2 parts clean, dry sand to 1 part wildflower seeds which will help the seeds spread evenly. Do not use beach sand, as it usually contains salt. It may be wise to spread most of the seed, but to save some for filling in bald spots at a later date. Seeds must come into contact with the soil in order to germinate. Do not bury seeds more than 2-3 times their thickness. Aim for a planting density of 70 seeds per square foot. 90g of seeds will cover 1,000 ft². Use 4kg per acre. 500g covers about 5,500 ft². If seeding an area where site preparation and weeding are not possible, double this rate.","Keep the seeded area as evenly moist as possible to help the seeds germinate and the young seedlings become established. Weeds need to be kept under control. Once they are growing, most mixes will not require additional water except in long periods of hot, dry weather. All of our mixes should re-grow for several years, but will eventually benefit from re-seeding. In late summer, many of the components will produce seed heads that can be harvested and replanted the following spring.",
Yarrow,Flower,"Sow indoors 8-10 weeks before planting out after the last frost date. Transplant or direct sow in early spring or early autumn. Optimal soil temperature for germination: 15-18°C (60-65°F). Seeds can take 10 to as long as 100 days to sprout, so be patient. Bottom heat speeds germination.","Sow on the surface of the soil, under bright lights if starting indoors. Transplants can go out while the soil is still cool and there is still some risk of light frost. Space transplants at 30-60cm (12-24″) apart.","Ideal pH: 5.5 to 7.0.Yarrow is a tough plant that is suitable for , and it will adapt to pretty much any soil. For best results, grow in a loamy, well drained soil. Divide plants every 3-4 years. Cut plants to ground level in autumn.",
Zinnia,Fower,"Direct sow after last frost. Zinnias don’t transplant well, but can be started indoors, if necessary, in peat or coir pots, 6-8 weeks before planting out. Maintain a soil temperature of 21-26°C (70-80°F). Seeds should germinate in 5-24 days.","Just cover Zinnia seeds, and aim for a final spacing of 25-30cm (10-12″) between plants.","Depending on the variety, it takes about two months after sowing for the first flowers to appear. Take regular cuttings of Zinnia stems to enjoy indoors, starting mid-summer right into the fall. Cutting encourages the production of new flowers and seems to stimulate the plants for greater vigour. Watch for signs of powdery mildew on the leaves, usually in late summer. Try to avoid overhead watering to prevent mildew.",
Gaillardia,Fruit,"Direct sowing is easiest, and is done after last frost, or in the autumn in places where winter is mild. They can also be sown indoors 4-6 weeks before last frost. These would be transplanted out once daytime temperatures are consistently above 10°C (50°F). Seeds will germinate in 7-20 days. If starting indoors, provide bright light and a soil temperature of 21°C (70°F).",Sow on the surface of the soil. Transplant or thin to stand 15-30cm (6-12″) apart.,"Feed once, just as flowering begins, and top-dress with well-rotted manure once in summer. Deadhead regularly. Water regularly during dry spells, keeping leaves as dry as possible – this can be done in the early morning, so leaves dry off by noon. Gaillardia will self sow.",
Berry,Fruit,,,,
Goji Berry,Fruit,"Sow indoors about 6 to 8 weeks before the last frost. It’s important to cultivate strong seedlings, so once the seeds sprout, use generous artificial light.","Sow 2 to 3 seeds in each pot, about 5mm (¼”) deep. Use a sterilized seed starting mix, and do not add fertilizer. Keep soil moist until seeds germinate, and then place under bright lights. After the third true leaf emerges, transplant each seedling on to its own individual pot. Gentle hardening off of seedlings is essential in order to avoid transplant shock.","Ideal pH: 6.8 - 8.1.Goji is a shrubby plant that can, in time, grow 1-3m (3-10′) tall. Growers space Goji plants 60cm (24″) apart in rows that are 2m (6′) apart. Spaced this way, 15 plants in a 30 foot row can produce up to 100 lbs of berries in a year. Goji is self pollinating, so even a single plant will produce fruit.Goji is unusual in that it prefers relatively infertile, slightly alkaline soil. Goji reacts poorly to fertilizer and manure, so if growing in a large container, use simple top soil with some perlite mixed in for drainage. Avoid peat-based soils.If severe winter weather is expected, it is wise to mulch around the bases of Goji plants, or move container plants into a cool but frost free area such as a garage.",
Strawberry,Grass,"Sow indoors in the winter. An earlier start may result in berries the first year. Start any time between December and the beginning of February. After that time, they will still produce plants, but berries may not be produced during the first season. Transplant out at least 3 weeks after last frost. Strawberry seeds will germinate at any time of the year if some simple steps are taken.","Germination is the trickiest aspect to growing strawberries. Be patient, and try the tricks below.Tuck strawberry seed packet inside a sealed plastic bag or airtight container and place in the refrigerator freezer (not deep freeze) for 3-4 weeks. After removing the bag or container,  until it (and its living contents) have reached room temperature. This may take several hours. Err on the side of caution. Opening the package too quickly may result in water condensing on the cold seeds, and this will reduce your chances of success.Once the sealed package has “thawed” to room temperature, the seeds are ready to plant. Sow the seeds on the surface of pre-moistened, sterilized seed starting mix in trays or small containers. Place these on a piece of felt or other thick cloth that has its end sitting in water. The idea is to wick up water from below so that the seedling medium stays constantly and evenly damp until germination.An alternative method is to sow strawberry seeds on the surface of moistened soil in a germination tray (or in small pots). Tuck the tray or pots inside a sealed plastic bag, and store in the refrigerator for 3-4 weeks.Move the seeded trays under bright fluorescent lights at a constant temperature of 18-24°C (65-75°F).  work very well. Germination may take anywhere from 7 days to 6 weeks: Be patient. Once germination occurs, increase ventilation around the plants to prevent damping off.Once the seedlings develop their third true leaf, they can be gently transplanted into their own pots. Be sure to harden strawberry seedlings off carefully and gradually before transplanting outside.","Space transplants 60cm (24″) apart in rows 90-120cm (36-48″) apart. Ever-bearing varieties (such as ours) tend to produce fewer runners, and may produce more fruit if the runners are removed. In the first year of growth, it may be preferable to encourage runners, and let them fill in the spaces between transplants with new offspring plants.Grow strawberries in a well-drained, sandy loam that has been generously dug with organic matter such as finished compost or well-rotted manure. Dig ¼ cup complete organic fertilizer into the soil beneath each transplant. Keep soil moist, but not soggy. A mulch of straw around plants may help prevent the soil from drying out.",
Fescue,Herb,Sow in the spring or fall (fall is recommended) at a depth of 5-10mm (¼-½”). ,"Use Tall Fescue to overseed existing lawn at a rate of 1.8kg (4 lbs) per thousand square feet. Better yet, seed a new area, with no turf present, at 3.6kg (8 lbs) of seed per thousand square feet.",,
Basil,Herb,"Basil grows well in containers indoors at any time of year provided you can supply enough light. For outdoor growing, sow basil seeds throughout late spring for transplanting to the garden after the summer solstice. Or direct sow in early summer, once the soil has warmed up. Basil requires warm soil and full sun. Optimal temperature for germination: 21°C (70°F). Seeds should sprout in 5-10 days.","Sow seeds 1cm (½”) deep in sterilized seed starting mix. Basil is prone to damping off, so once seeds sprout, make sure they are adequately ventilated, and kept under very bright light. Thin to 20-25cm (8-10″) apart. Using bottom heat speeds germination.","Use any rich, loose, well drained soil. Once plants are 15cm (6″) tall, pinch out the growing tips to encourage really bushy growth prior to harvest. Watch for signs of flower buds forming in mid-summer, and pinch these off to promote more foliage. GerminationUsual seed life: 3 years.","Frequent harvesting will prolong the life of the plant. Basil leaves have the best flavour just before the plant flowers, and if you plan to preserve some of your basil or make a big batch of pesto, this is the best time to harvest. Flowering can be delayed by pinching or clipping off new flower buds.Tear basil rather than chop with a knife because chopping tends to bruise the leaves. Add basil to food just before serving so as to get the full aroma and effect. Cooking for any length tends to make the minty side of basil come to the forefront.Basil is best fresh, but can be preserved by drying or by freezing. To freeze, tear the leaves into small pieces and freeze small batches of them, with water, in ice cube trays. Once frozen, the cubes can be saved in zip-lock type bags and labeled for later use. This will preserve the fresh flavour of basil for up to four months."
Bergamot,Herb,"Sow indoors 6-8 weeks before the last frost, or direct sow in early spring when a light frost is still possible. Seeds can also be direct sown in the fall, as the first frost approaches. Optimal soil temperature for germination: 15-21°C (60-70°F). Seeds should sprout in 10-40 days. Bottom heat will speed germination.","Barely cover the tiny seeds with soil. Thin or space transplants 45-60cm (18-24″) apart. These vigorous perennials will grow in, closer together over time.","Any ordinary garden soil will work. Plant in full sun to partial shade. Where summers are long, plants are prone to mildew, so avoid overhead watering. Deadhead regularly to prolong the blooming period. These perennial plants spread by rhizome growth, and should be dug and divided every three years.","Pick the leaves as desired for fresh use in the kitchen. For drying, harvest leaves before the flowers open. Cut flowers for drying as soon as they’re fully open. Masses of tiered pink-purple blossoms grow from August until frost."
Borage,Herb,"Direct sow in mid- to late spring. Borage develops a delicate taproot, so it’s best direct sown where it is to grow. Borage does not transplant well. Optimal soil temperature for germination: 21°C (70°F). Seeds should sprout in 5-15 days.","Sow seeds 1cm (½”) deep, and thin to 60cm (24″) apart. Borage will get large and fill in spaces between plants.","Borage is an un-fussy, self-sowing annual. To avoid self-sowing, the flower heads need to be picked regularly. Borage does best in full sun in well drained soil. GerminationUsual seed life: 3 years.",Pick fresh flowers for freezing or drying for bouquets. Cut the fresh leaves during the summer to add to salads or spreads.
Catnip,Herb,"Sow seeds indoors in late winter, and transplant or direct sow in 2-6 weeks after the last frost date. Catnip can also be direct sown in the fall where it is to grow. Bottom heat will speed germination. Ideal temperature for germination: 21-27°C (70-80°F). Seeds should sprout in 10-20 days.",Sow on the soil surface or barely covered with perlite. Thin plants or transplant to 30cm (12″) apart. Keep seedlings well protected from cats.,"Catnip does very well in containers, raised beds, or borders in full sun to partial shade. The main challenge to growing it is protecting it from cats. After the main bloom, plants should be cut back hard to encourage a second bloom and tidy shape. GerminationUsual seed life: 5 years.","To save the summer catmint bounty, harvest when fully grown, and keep the plant picked regularly."
Chervil,Herb,"Start seeds indoors or direct sow in spring. Direct sow in summer and protect plants from midday sun for a winter crop – chervil is quite hardy. Keep transplanting to a minimum, as chervil develops a delicate taproot that does not respond well to disturbance.","Sow seeds 5mm-1cm (¼-½”) deep, and space plants 23-30cm (9-12″) apart.","Chervil plants will be ready for cutting 6-8 weeks after sowing. It’s probably best to grow chervil in relatively damp soil in partial shade, as plants will bolt in hot mid-summer weather. Transplanting may also trigger bolting. Cover with a cloche in winter, and it will just keep growing until it blooms the following spring.","Begin harvesting as needed 6-8 weeks after sowing, or when plants are 10cm (4″) tall. Drying kills nearly all the flavour of chervil leaves, so freezing is best for long term storage."
Chives,Herb,"Start indoors from late winter through mid-spring, and transplant or direct sow once the soil has warmed in late spring. Optimal soil temperature for germination: 19°C (65°F).","Sow 5mm-1cm (¼-½”) deep and keep moist until germination. If starting indoors, use bottom heat and plant 10-15 seeds per cell in a 72 cell plug tray. Transplant either into containers or into the garden once the soil has warmed up. Space clumps 15cm (6″) apart.","Clumps of chives spread to about 30cm (12″) across. They should be divided at that point and replanted to stand 30cm (12″) apart or broken up for container planting. Remove flower stems before they open to increase foliage production. Keep chives watered evenly throughout the season. For a winter crop, try digging up a small clump after the foliage dies back in the fall. Plant this in a container using loamy potting mix, and bring indoors to a warm, and very bright windowsill.","The whole plant can be cut down to 4cm (2″) from the ground. Use scissors and take as much as needed. Chives don’t dehydrate well, so use fresh portions regularly. The flowers can be used in salads or to flavour vinegars."
Cilantro,Herb,Direct sow from just after the last frost date to late spring. Direct sow in the fall under cover for a winter crop. Optimal soil temperature for germination: 15°C (60°F). Seeds should sprout in 5-10 days.,"Sow 2cm (1″) deep in short rows. Thin seedlings to stand 5-10cm (2-4″) apart if harvesting leaves. If growing for seed, allow 23cm (9″) between plants.","Cilantro is tricky because several factors can cause it to bolt. Avoid transplanting for this reason, and avoid hot conditions as well as too much moisture. It does best in light, well-drained soil in partial shade, in relatively dry conditions. This is easy to achieve beneath a cloche in winter, where cilantro will thrive. Once it blooms, the seeds ripen suddenly, in only a couple of days, so care should be taken to prevent self sowing or simply losing those useful seeds. GerminationUsual seed life: 3 years.","Pick young leaves once they have reached about 10cm (4″) in height. The flavour, though intense when fresh, diminishes quickly when dried or cooked, so always add cilantro just before serving. Try freezing it in ice cube trays with water. The stems and roots are also full of flavour. Harvest the seeds by sticking 6 or 8 seed heads in a paper bag and hanging it up somewhere airy, away from direct sunlight. The bag will catch the seeds as they ripen and fall out."
Culantro,Herb,"Start the seeds in CowPots or medium sized coir pots. Culantro is a biennial plant with a central taproot, so it does not transplant well. The strategy is to transplant its whole root system as needed. Start seeds indoors about eight weeks before the last frost date. That’s early February on the west coast. This tropical herb requires warm soil. Optimal temperature for germination: 26°C (80°F). Seeds should sprout in 14-28 days.","Sow the tiny seeds on the surface of pre-moistened, sterilized seed starting mix. Using bottom heat speeds germination. Do not transplant until night time temperatures are consistently 10°C (50°F) or higher. Keep the planting medium quite moist. Aim for an ultimate spacing of one plant per one gallon pot, or three plants per five gallon pot.","Rich, moist, well-drained soil in a warm location is best. Culantro thrives in full sun, but there seems to be some consensus among growers that it will be more productive over a longer period if grown in partial shade. The leaves grow larger and more tender this way. GerminationUsual seed life: 2 years. Using fresh seed each year is recommended.","Typically culantro is used as a fresh herb, cutting individual leaves from the plant (or row) as needed. If frost is expected or plants appear to be bolting, harvest at once, and allow the leaves to dry completely with the tap root attached. The leaves retain their flavour surprisingly well. It can also be chopped and frozen in water in ice cube trays like basil, but this seems to diminish the flavour a little."
Cumin,Herb,"Cumin needs a long hot season to produce seeds. Start indoors four weeks before the last frost date, and transplant outside once temperatures are steadily above 15°C (60°F). Ideal temperature for germination: 20-30°C (68-86°F), so use bottom heat. Seeds should sprout in 7-14 days.",Sow 5mm (¼”) deep. Transplant at a spacing of 10cm (4″).,"Cumin needs approximately 120 days to maturity from the sowing date to produce viable seeds. It is an annual member of the carrot family, and produces umbelliferous flowers that are highly attractive to beneficial garden insect predators. Flowering begins mid-summer. GerminationUsual seed life: 2 years.","Cut the seed heads to dry indoors as late in the season as possible, or as soon as seeds can be seen to fall from the seed head."
Dill,Herb,"Direct sow late spring through summer, or sow when cucumbers are transplanted, to coincide maturity for pickling. Dill tends to bolt if transplanted, so it is best direct sown. Stagger the harvest by sowing every 2-3 weeks for a constant supply of fresh leaves. Optimal soil temperature for germination: 15-21°C (60-70°F). Seeds should germinate in 10-21 days.",Dill seeds need some light to germinate. Sow seeds no more than 5mm (¼”) deep in rows 45cm (18″) apart. Thin the plants to stand at least 15cm (6″) apart.,"Ideal pH: 5.0-7.0. Grow in moderately rich soil in full sun. Water and feed regularly, and stop any overhead watering once plants are 60cm (24″) tall to prevent issues with mildew forming on the leaves. GerminationUsual seed life: 3 years.","Begin harvesting the tasty leaves once plants reach 15cm (6″) tall. About 12 weeks after sprouting the seed heads begin to form. When the first seeds have turned brown, cut the whole head and hang it upside down for the drying seeds to fall out into trays or paper bags. Dill leaf loses most of its flavour when dried, so freeze it in ice cube trays filled with water for use all winter."
Lavender,Herb,"Lavender germinates most evenly if seeds can be collected in the autumn and sown on the surface of a seed tray with bottom heat maintaining 4-10°C (40-50°F). The seedlings are then overwintered in a cool greenhouse or cold frame with good ventilation. Seedlings can then be potted on as needed.Another method is to start the seeds indoors in winter, planting a few seeds in a few pots with sterilized seed starting mix. Dampen the mix, press the seeds into the surface, insert the pots into plastic bags, and put them in the freezer for about a week. Let them come to room temperature on their own, and then use bottom heat as indicated above.","Avoid using a plastic lid or covering, as this will keep the soil more moist than needed. Barely cover the seed, as they germinates in 14-21 days in warm soil. Do not use a plastic lid or covering because this will make the surface of the soil too moist. If watering is necessary, water from below. If germination is low after 3-4 weeks, lower the temperature to 5-10°C (40-50°F) for 2 weeks, then raise it again. Pot up the tiny seedlings and grow them on in a protected greenhouse or windowsill to set into the garden in the spring.","Lavender prefers full sun and well drained, fertile soil. Trim plants back hard in spring, just as new growth starts – but never prune back into the woody part of the stems. This will give a rush of even growth for the first leaves and bloom. Cut back again in early autumn, but again – never into old wood.","Gather the flowers just as they open. Dry on open trays, or by hanging in small bunches. Pick the leaves anytime to use fresh, or if dehydrating lavender leaves, gather before flowering starts."
Lemon Balm,Herb,"Start indoors 6 to 8 weeks before last frost, and transplant out or direct sow once day time temperatures are steadily above 10°C (50°F).","Barely cover the tiny seeds. Use a sterilized potting soil, and keep watering to an absolute minimum – just enough to keep the medium from drying out. Germination takes 10-14 days. Transplant at a spacing of 45cm (18″) into the garden.","Choose a shady spot or a location where plants can be protected from midday sun. Lemon balm prefers a fertile, moist soil in a cooler part of the garden. Plants grown in partial shade will be larger and more succulent than those exposed to full sun.",Pick leaves throughout the summer for fresh use. The aroma is rapidly lost when dried or stored.
Lovage,Herb,"Start indoors in spring or direct sow in the fall. If starting indoors, try to maintain a soil temperature of 15°C (60°F). Once seedlings are big enough to handle, harden them off before transplanting to the garden.","Sow seeds 5mm (¼”) deep, three or four seeds per pot, and thin to the strongest seedling. Germination takes 10-14 days. Keep soil moist until they are established, and transplant out at least 60cm (24″) apart.","Choose the site for your lovage with care, as they are long lived perennials, and they grow tall. They will tolerate partial shade to full sun. Lovage develops a long taproot, so cultivate the bed deeply, and add well rotted manure. Consider grouping lovage together with other perennial food plants like asparagus and rhubarb in a permanent bed. Allow for a spread of at least 1m (3′).","The leaves of lovage can part a wonderful meaty flavour to vegetable soups, stews and stocks. After the herb has flowered, the leaves develop a bitter taste, so it is best harvested in early summer. The fresh leaves can be frozen in ice cubes for winter use. Chop the leaves finely and distribute them in ice cube trays, then cover with water. When the cubes are frozen, put them in zip-top bags."
Mint,Herb,"Sow indoors 8-10 weeks before last frost, or direct sow in late spring. Seeds should sprout in 10-16 days. Bottom heat will speed germination.",Sow seeds no more than 5mm (¼”) deep in moist soil. Space plants 45-60cm (18-24″) apart.,"Mint spreads in the garden with gusto via a vigorous root system, so it may be preferable to confine it to planters on the balcony or in a raised bed. Prune plants back hard in early summer to promote good top growth. Bring some inside to grow in a small container over winter to grow on a brightly lit windowsill.","Clip leaves or branches as needed throughout the year. Mint is so hardy and tough that it will grow right back. Dry the leaves and flowers for peppermint tea, or use them fresh. The flowers are edible and bring distinctive character to salads and sweets."
Oregano,Herb,Start indoors in plug trays from late winter to mid-spring. Starting indoors is more reliable than direct sowing. Use bottom heat to achieve a constant soil temperature of 15°C (60°F) for best results. Germination occurs in 7 to 14 days.,"Oregano seeds are dust-like, so handle them with care. Prepare containers or plug trays using sterilized seed starting mix, and water the soil. Then try to evenly distribute the tiny seeds on the surface of the soil. Do not bury them. Using bottom heat will improve the overall success rate. As seedlings grow, keep soil on the dry side. Pot on as necessary or transplant to the garden in late spring to early summer.","Grow in a sunny and warm spot. Aim for 25cm (10″) between plants. Cut plants back after flowering to prevent them from getting straggly. As autumn approaches, divide some to bring inside over winter. Cut back the year’s growth to about 6cm (2½”) from the soil.",Pick the leaves throughout the season as needed. Oregano leaves can be dried or frozen. Store dried leaves or whole stalks in air tight containers away from bright light.
Parsley,Herb,,"If starting indoors, sow seeds 1cm (½”) deep, in sterilized seed starting mix, in peat pots or plug trays. Like its cousins dill and cilantro, parsley develops a taproot that does better if left undisturbed. Sow outdoors in drills 3cm (1¼”) deep, spaced 8cm (3″) apart. Thin final plants to 15cm (6″) apart.","Grow parsley in a deeply dug bed. Add a generous amount of rotted manure or finished compost to the bed several weeks in advance, or the previous fall. For summer crops, aim to grow plants in a place where they will receive some shade during the day – either on the east or west side of a structure or fence works well. For winter crops, start new seeds in late summer and transplant out to a warm, sunny location by September. Parsley will grow all winter (in mild areas) if cloche protection is provided.","Cut individual sprigs from the outside of the plant or the whole plant as needed. Sprigs can be dried in the food dehydrator. Chop sprigs into the portions that your favourite recipes call for, place into an ice cube tray and add water to cover. When frozen, bag and store until needed. This keeps the parsley fresh for months."
Rosemary,Herb,"Sow indoors from late winter to early spring. Transplant or direct sow starting in late spring, once soil has warmed. Starting indoors is more reliable. Use bottom heat to maintain an optimal soil temperature of 27-32°C (80-90°F).","Most nurseries grow rosemary from cuttings, not seeds. Germination is notoriously low, so plant more seeds than needed. Sow them barely covered with sterilized seed starting mix over bottom heat. Once germinated, rosemary is highly prone to damping off, so keep watering to a minimum, provide bright light, and ventilation. Keep each plant in its own pot for the first winter and offer them protection from severe cold. Transplant to the garden the following spring at a spacing of 60-90cm (24-36″).","If growing rosemary in containers, provide monthly feedings of liquid fertilizer. Keep watered in hot weather. Mulch around all rosemary plants as cold weather approaches. If their roots freeze in times of hard frost, the plants will die.","Harvest individual leaves by pulling them off the plant. Harvest branches or stems for drying by cutting with a clean, very sharp knife. Scissors may crush the plant’s tissues at the cut end."
Sage,Herb,"Start indoors mid-winter to mid-spring. Transplant out or direct sow starting late spring. Starting indoors may be more reliable, particularly if using bottom heat and maintaining optimal soil temperature at 15-21°C (60-70°F). Seeds should sprout in 2 to 3 weeks.","Sow seeds 3mm (1/8″) deep, and keep soil just moist, not wet. Thin or transplant to 45-60cm (18-24″) apart.","In spring, trim established plants back by a third to encourage new growth. Once the flowers have finished in June/early July, trim the plants back again. A second bloom sometimes follows, and this pruning will keep plants bushy and compact. After a few years, sage bushes can become quite large. Keep in check by pruning.",
Savory,Herb,Sow the very tiny seeds indoors about 4-6 weeks before the last frost. They should sprout in 10-15 days.,"Sow seeds on the surface of prepared starting mix. Do not bury them as they need light to germinate. Don’t bother using bottom heat, as the seeds will sprout well without it. When seedlings are large enough to handle, delicately pot them on or transplant out to the herb garden once all risk of frost is past. Both varieties benefit from careful hardening off to reduce transplant shock.",,
Shiso,Herb,"Start indoors in early spring, a couple of weeks after the last frost date, or direct sow outdoors in late spring, once night time temperatures are steadily above 8°C (45°F).","If starting indoors, use equal parts sterilized seed starting mix to perlite. Mix well and add to seed trays with domes. Use bottom heat from a  to maintain a soil temperature of 20°C (70°F). Seeds should germinate in 7 to 14 days. Be careful not to over-water, particularly once seeds have germinated, as the seedlings are prone to damping off. Remove the dome at germination, but maintain bottom heat until seedlings are large enough to pot on into larger containers.Alternatively, direct sow outdoors into well-drained garden soil. Seeds should germinate in 14 to 20 days.","Shiso does best in full sun to partial shade, in fertile, well-drained soil. Allow transplants to become established, and then grow as you would basil — pinch growing tips regularly to produce bushier plants with more leaves. Water regularly, more so in hot weather. If growing in containers, mix equal parts potting soil and composted fine bark. Orchid bark works well.","Pick leaves as needed throughout the summer, and harvest the flowering tops in late summer. As autumn approaches, harvest the seeds for planting next spring."
Stevia,Herb,"Sow indoors 8-10 weeks before last frost, or direct sow in late spring. Seeds should sprout in 10-16 days.","Sow seeds on the surface of damp, sterile seed mix, and use bottom heat. Warmth and bright light are necessary for germination. Be advised that germination is challenging. The germination rate shown on our packaging reflects laboratory conditions. Without the use of bottom heat, few or none of the seeds will germinate. We highly recommend using a heat mat.","Grow using the same methods as growing basil. Grow in well drained soil in a warm spot in the garden, or in large containers in full sun. Water regularly in hot, dry weather. In very hot climates, Stevia benefits from afternoon shade. Space plants 60cm (24"") apart, and pinch growing tips once or twice to encourage bushy growth.","Clip leaves or branches as needed throughout summer. The leaves dry fairly well for fall and winter use as an all purpose, low calorie sweetener."
Tarragon,Herb,"Sow indoors 6-8 weeks before last frost, or direct sow 2 weeks after last frost. If starting indoors, just cover the seeds with vermiculite and provide a soil temperature of 21-25°C (70-75°F). Seeds should sprout in 4-14 days at that temperature.","The seedlings are somewhat prone to damping off. As a precaution, just cover the small seeds with vermiculite, water from below, and provide ventilation in the room. Space plants in the garden 30-45cm (12-18″) apart.","Pinch the growing tips to encourage branching. Edible flowers are borne in abundance once the summer heats up. This fast growing herb requires little care, but it does appreciate good drainage.",Pick leaves and flowers to steep as tea or as a substitute for traditional tarragon at any time during the summer. A yellow dye can be created from the flowers of this plant. The dried plant was traditionally burned to repel insects.
Thyme,Vegetable,"Sow indoors late winter to mid-spring. Transplant out once soil begins to warm, or direct sow late May through June. Ideal soil temperature for germination: 15-21°C (60-70°F).","Sow the dust-like seeds on the surface of dampened, sterilized seed starting mix under bright light with bottom heat. Keep watering to a minimum, as thyme seedlings are prone to damping off. When seedlings are large enough, harden them off and transplant to the garden or to containers, spacing them at 23-38cm (9-15″) apart.","Trim plants back after flowering to encourage bushy growth. Protect container-grown plants from cold as winter approaches, and water only as necessary. Damp, cold soil will kill thyme.","Fresh thyme leaves can be harvested at any time of the year as long as the plants are established. Prune back any dead branches. Whole stems/branches can be clipped and dried whole, or individual leaves can be left to dry in a dark, airy spot for long term storage."
Artichoke,Vegetable,"Start indoors in late winter, four to six weeks before the last frost date. Keep seedlings under bright lights.","Sow two seeds per pot, 5mm (¼”) deep. Keep moist in a warm place until seeds germinate in 10 to 21 days. Transplant seedlings into the garden 2 weeks after the last average frost date for your area. Artichokes need a cool period (250 hours — approximately 10 to 11 days) below 10°C (50°F) to induce flowering in the first year, but will not survive hard frost. Space plants 1m (3′) apart. Seeds can also be germinated between damp sheets of paper towel.","Ideal pH: 5.6-6.6. Select a sunny, sheltered location with well-draining soil. Dig in lots of compost or rotted manure and add 1/2 to 1 cup of  per plant. Approximately two weeks before the last frost date (or if hard frost is forecast) cut the plants back to 15cm (6″) tall, and mulch well with straw, soil, leaves, or burlap, to keep the roots from freezing. Uncover after the last frost date. GerminationDays to maturity: From transplant.In optimum conditions at least 70% of seeds will germinate. Usual seed life: 1 year.",Cut individual flowers before they start to open in late summer.
Arugula,Vegetable,"Direct sow every 3 weeks from mid-March to April and again in September for a fall/winter crop. Arugula is a productive, cool season, annual salad green that works best in spring and fall, and can be managed all winter under cloche protection where winters are mild. In hot weather, arugula tends to bolt and go to seed. Optimal soil temperature for germination: 4-12°C (40-50°F).",Sow no more than 5mm (¼”) deep in well drained soil in full sun. Thin seedlings to 10-15cm (4-6″) apart in rows 45-60cm (18-24″) apart. Overcrowded plants will bolt earlier. Seeds germinate in 4-8 days.,Ideal pH: 6.5-7.0. In optimum conditions at least 75% of seeds will germinate. Keep moist until germinated and then just keep the area weeded.,Harvest with scissors. Use as a cut & come again crop. Baby leaves are mild and tender.
Bean,Vegetable,"Direct sow before the first frost date in mild winter areas. Direct sow late winter to mid-spring in other areas (tall, soft plants won’t withstand winter well). Optimal soil temperature: 10-21°C (50-70°F). Enrich the soil with compost prior to planting.","Use a broad bean or combination inoculant to provide a source of nitrogen. Sow seed 5cm (2″) deep, 15cm (6″) apart in double rows. Each set of double rows should be 1m (3’) apart. Germination takes 10-14 days, depending on conditions.","Ideal pH: 6.0-6.5.Keep overwintered plants weeded. Provide stakes or strings between rows to stop plants from falling over. GerminationDays to maturity: From direct sowing.In optimum conditions at least 75% of seeds will germinate. Usual seed life: 2-3 years. Per 100′ row: 450 seeds, per acre: 98M seeds.","Pick when the pods appear plump and begin to droop from the weight of the seeds. Shell (like peas) and cook or use in soup. For dried beans, wait until the pods start to shrivel."
